song_id,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,label,parjaay
517,117.4538352,144336,1288.714286,0.26774171,0.311762661,0.097195961,0.399418861,0.288594127,0.083286569,0.228980667,0.175787336,0.030901187,2.311249256,16.52208138,272.979187,-7.598639011,54.9114151,3015.263672,0.006131925,2.268604755,5.146567822,0.091969118,0.040699448,0.001656445,1848.956693,587.5040551,345161.0148,2141.472067,474.9646981,225591.4644,23.52602783,6.435989112,41.42195584,3956.071912,1344.679923,1808164.094,0.891347019,1.029890567,1.06067458,0.011339746,0.086504402,0.007483012,0.068150948,0.033668403,0.001133561,-7.29E-05,0.094576292,0.008944675,-0.000252049,0.018478436,0.000341453,5.290666667,1.749223698,3.059783545,2,prem
518,89.10290948,111679,1269.079545,0.225498244,0.302824229,0.091702521,0.39377749,0.288527936,0.083248377,0.233562221,0.169652652,0.028782022,0.769369304,5.624717236,31.63744164,-9.318831444,65.9864502,4354.211914,0.003652991,2.131909847,4.545039654,0.063013494,0.020797554,0.000432538,1484.618507,365.0623916,133270.5497,1741.208226,273.403751,74749.61107,26.50506197,6.762739987,45.73465213,3006.719319,796.5056684,634421.2798,0.591632755,0.64950084,0.421851341,-0.009327981,0.093588189,0.008758749,0.067462744,0.031481438,0.000991081,-0.030972904,0.055333741,0.003061823,-1.46E-05,0.011381265,0.000129533,2.116498866,1.168295468,1.3649143,2,prem
519,123.046875,151398,1261.65,0.207657441,0.300419748,0.090252027,0.339844882,0.294569969,0.086771458,0.213991065,0.193755406,0.037541157,1.254717588,11.37072563,129.2934113,-10.12929726,65.76517487,4325.058594,0.0036963,2.397588015,5.748428345,0.071639255,0.027899753,0.000778396,1357.172783,349.5280277,122169.8422,1770.973542,306.9472754,94216.6299,26.9259013,6.412458383,41.11962251,2587.496854,945.1348002,893279.7905,0.630137991,0.707896389,0.501117298,0.016896635,0.105440725,0.011117747,0.052579803,0.019121389,0.000365628,-0.022681814,0.070493788,0.004969374,-5.80E-05,0.012945587,0.000167588,2.397460317,1.317000846,1.734491228,2,prem
520,112.3471467,145035,1272.236842,0.247738346,0.294773608,0.08689148,0.427195817,0.27682212,0.076630481,0.239695507,0.160870747,0.025879397,0.859137833,6.295818806,39.63733673,-7.67292738,63.64838028,4051.116455,0.004871919,2.500221014,6.251104832,0.060948234,0.021994241,0.000483747,1409.867645,422.4771611,178486.9517,1783.261863,363.7022649,132279.3375,24.94701911,6.343782738,40.24357943,2989.590256,1071.565195,1148251.967,0.644693964,0.726675838,0.528057773,0.010983901,0.087897138,0.007725907,0.067446304,0.027585433,0.000760956,-0.021996539,0.055376984,0.00306661,-0.000159048,0.014386393,0.000206968,2.692353741,1.732082163,3.000108619,2,prem
521,123.046875,154668,1299.731092,0.258155495,0.31203118,0.097363465,0.421472758,0.284324348,0.080840334,0.242723692,0.156264336,0.024418543,2.71933341,21.30409813,453.8645935,-9.688776016,53.51842499,2864.22168,0.005200252,2.410634756,5.811159611,0.099790871,0.048860192,0.002387319,2018.095957,608.4794623,370247.256,2217.670918,467.9943635,219018.7243,23.33715183,6.577090794,43.25812331,4252.207621,1428.443785,2040451.648,0.913198425,1.071053419,1.147155427,-0.006834089,0.084432732,0.007128886,0.080461721,0.037627303,0.001415814,-6.60E-05,0.102636576,0.010534266,-0.000178892,0.024990341,0.000624517,4.783310658,1.533783027,2.352490373,2,prem
522,151.9990809,192134,1280.893333,0.208263263,0.299026757,0.089416996,0.402611136,0.285522521,0.081523113,0.233591879,0.169611814,0.028768167,2.596665144,21.65918159,469.1201172,-9.314988136,56.41684341,3182.860352,0.002397383,2.414004803,5.827419758,0.098592319,0.041654866,0.001735128,1887.137496,588.6743238,346537.4595,2171.192698,391.3919512,153187.6595,23.22221362,6.702410355,44.92230456,3863.714137,1316.125962,1732187.547,0.853435997,0.993018864,0.986086464,0.001260677,0.090880072,0.008259188,0.070388274,0.033751772,0.001139182,-8.10E-05,0.100296661,0.010059421,-0.000218475,0.022547221,0.000508377,3.9938322,1.385202154,1.918785007,2,prem
523,151.9990809,190781,1289.060811,0.248550266,0.301454186,0.090874635,0.376279205,0.290747374,0.084534034,0.22903823,0.175712329,0.030874822,1.458924532,10.74145889,115.3789291,-7.93116951,58.01498413,3365.738281,0.005952056,2.435839176,5.933312416,0.07793203,0.03002657,0.000901595,1589.089835,367.1659655,134810.8462,1796.345166,292.5211017,85568.59496,24.42284408,6.789399631,46.09594734,3181.626594,794.7606072,631644.4227,0.832637272,0.963054675,0.927474307,-0.008980423,0.089677463,0.008042047,0.061926496,0.022325226,0.000498416,-0.022811765,0.07225541,0.005220844,-0.000135707,0.021759499,0.000473476,1.922612245,1.149882539,1.322229852,2,prem
524,103.359375,124985,1288.505155,0.265417516,0.317239195,0.100640707,0.378646135,0.287861109,0.082864024,0.224988222,0.180869106,0.032713633,3.128193617,20.21310997,408.5697937,-7.979523182,47.33021545,2240.149414,0.004738309,2.140592813,4.582137585,0.110506266,0.040969141,0.001678471,2057.015604,597.3804426,356863.3932,2306.745278,452.4169675,204681.1125,21.95904806,5.905263291,34.87213453,4448.398101,1419.110831,2013875.55,1.141782423,1.294131178,1.674775506,-0.006022701,0.092065827,0.008476117,0.069738807,0.029218838,0.00085374,0.00083964,0.109433509,0.011975693,0.000525878,0.024708658,0.000610518,4.084390023,0.984205655,0.968660772,2,prem
525,117.4538352,149746,1269.033898,0.230031967,0.29807812,0.088850565,0.370422542,0.293510318,0.086148314,0.222614863,0.183782361,0.033775956,0.712462306,5.188695908,26.92256737,-7.90710783,68.30619049,4665.735352,0.003287042,2.624462605,6.887804031,0.067684487,0.016722292,0.000279635,1265.847652,396.1885208,156965.344,1744.426053,322.4601628,103980.5566,26.14435477,6.563937497,43.08527547,2664.654721,930.079541,865047.9526,0.584130343,0.647887658,0.419758417,-0.002596137,0.097056242,0.009419914,0.032276071,0.018088066,0.000327178,-0.044989701,0.050449528,0.002545155,-2.47E-05,0.009710681,9.43E-05,2.363791383,1.397517233,1.953054416,2,prem
526,143.5546875,166877,1236.125926,0.279331446,0.301472276,0.090885542,0.399382293,0.285402834,0.081454784,0.234032395,0.169003465,0.028562171,1.97360146,13.39964199,179.550415,-6.188889027,54.53887939,2974.489502,0.011291648,2.68311286,7.199095249,0.084833317,0.043969247,0.001933295,1812.74977,564.6995205,318885.5484,1878.451053,439.5685765,193220.5334,23.87235504,6.936458758,48.1144601,3665.956999,1239.399491,1536111.098,0.925198982,1.152242871,1.327663633,0.026575338,0.089236959,0.007963235,0.081158617,0.030341797,0.000920625,-3.38E-06,0.087147161,0.007594628,-2.20E-05,0.023330506,0.000544312,2.375401361,1.057441426,1.118182369,2,prem
527,143.5546875,183855,1313.25,0.233351514,0.306145221,0.093724899,0.381456822,0.29715535,0.088301301,0.223291198,0.182960035,0.033474374,2.748321056,18.82910538,354.5351868,-7.845831394,50.08932114,2508.940186,0.006872375,2.114625931,4.471642494,0.103057072,0.037887916,0.001435494,2149.852096,553.3150753,306157.5725,2433.769842,335.8555915,112798.9784,22.21281779,5.760957117,33.1886269,4676.571721,1201.812929,1444354.316,0.94555057,1.077186352,1.160330436,0.024382203,0.093064991,0.008661093,0.06605988,0.034017497,0.00115719,-5.93E-05,0.10218972,0.010442739,-0.000204813,0.025150696,0.000632557,4.561560091,1.301239194,1.69322344,2,prem
528,143.5546875,179811,1275.255319,0.238846913,0.299895644,0.089937404,0.393861979,0.291760623,0.085124262,0.230433263,0.173878821,0.030233844,3.930285692,26.14671707,683.6508179,-7.766473293,56.62828064,3206.762207,0.005415777,2.452782869,6.016144276,0.120501682,0.052072603,0.002711556,1716.002973,673.7596462,453952.0609,2058.958765,544.704308,296702.7832,23.92912452,6.644082682,44.14383468,3559.315977,1596.075805,2547457.976,1.090026105,1.291406029,1.667729533,0.020410598,0.085594277,0.00732638,0.063266435,0.029798566,0.000887955,-3.87E-05,0.124286942,0.015447243,-0.000171179,0.022640856,0.000512608,4.216743764,1.495487664,2.236483354,2,prem
529,107.6660156,131138,1260.942308,0.232531697,0.306803137,0.094128169,0.335987806,0.297263473,0.088365577,0.210925077,0.197088673,0.038843945,1.093944788,11.48148441,131.8244934,-11.22083282,80.40014648,6464.184082,0.00389076,2.210569859,4.886619091,0.061421711,0.038150214,0.001455439,1043.440585,500.831871,250832.563,1425.716219,409.8898934,168009.7247,25.62093253,7.10741903,50.51540527,2088.937368,1076.165566,1158132.324,0.527464596,0.734488551,0.539473431,0.015252091,0.107790597,0.011618813,0.033223155,0.025754551,0.000663297,-0.022218419,0.065420628,0.004279859,-0.000140333,0.011760141,0.000138301,7.75662585,4.583224238,21.00594442,2,prem
530,129.1992188,148430,1279.568966,0.218588874,0.297335804,0.088408574,0.408343673,0.284913242,0.081175551,0.231578362,0.172350792,0.029704795,0.490758032,4.720668793,22.28471565,-9.946858406,75.6583252,5724.182129,0.008404575,1.303136349,1.698164344,0.038223766,0.027259851,0.000743099,1517.385387,400.601243,160481.3559,1778.771743,316.619554,100247.942,23.82249965,5.998432806,35.98119613,3049.55656,970.17962,941248.495,0.355194538,0.463543003,0.214872115,0.027101296,0.108953157,0.01187079,0.070269038,0.028534991,0.000814246,-4.26E-06,0.044953916,0.002020855,-7.23E-05,0.006434875,4.14E-05,4.657922902,2.618994732,6.859133407,2,prem
531,123.046875,149256,1309.263158,0.231387213,0.308803052,0.095359333,0.385025084,0.289664119,0.083905309,0.23027502,0.174088336,0.030306749,2.529201031,20.77540398,431.6174011,-11.39286613,57.41324234,3296.280518,0.005784537,2.572496176,6.61773634,0.095435239,0.050658233,0.002566257,1917.143661,574.5855211,330148.5211,2007.841038,416.5673451,173528.353,24.16089182,7.025662694,49.35993628,3852.610037,1239.733804,1536939.906,0.885514732,1.106802169,1.225011042,-0.007622328,0.091779504,0.008423477,0.075945497,0.035090596,0.00123135,-5.17E-05,0.101066761,0.010214491,-0.000117949,0.024212273,0.000586234,4.574331066,1.314585792,1.728135805,2,prem
532,123.046875,149276,1275.863248,0.245317966,0.30439049,0.092653573,0.421728134,0.279465497,0.078100964,0.242005644,0.157374082,0.024766602,2.24621892,13.85353947,191.9205627,-9.535564423,54.12631607,2929.658203,0.010927505,2.445251226,5.979253292,0.092377044,0.037456978,0.001403025,1924.612216,575.6690233,331394.8244,2203.666478,456.3420416,208248.059,23.46211982,6.546049436,42.85076323,4045.283872,1314.308945,1727408.003,0.926644284,1.06983125,1.144538903,0.010342993,0.082028307,0.006728643,0.074419618,0.033687845,0.001134871,-0.000133625,0.092165172,0.008494419,-0.000261006,0.020907622,0.000437129,4.039111111,1.601006612,2.563222172,2,prem
